ID	CITY	COUN	SUBJ	SEX	AGE	RELI	PRAC	FOCC	MOCC	FIEL	EMOT	WHEN	LONG	INTS	ERGO	TROPHO	TEMPER	EXPRES	MOVE	EXP1	EXP2	EXP10	PARAL	CON	EXPC	PLEA	PLAN	FAIR	CAUS	COPING	MORL	SELF	RELA	VERBAL	NEUTRO	MYKEY	Field3	Field2	Field1	SIT	STATE
101032	1	10	32	2	21	2	2	7	1	2	3	3	2	2	1	0	2	2	1	1	0	0	1	1	2	3	0	3	2	5	3	3	0	3	0	1010323	2	2	anger	"When a boy tried to fool me so he would be OK trying to show me á
that he is a gook boy."	1
101040	1	10	40	2	18	2	2	7	7	9	3	1	4	3	1	1	0	1	0	0	0	0	2	3	1	3	3	3	2	2	2	1	0	0	1	1010403	4	3	anger	"I felt anger when I saw that I was being misleaded by my á
boyfriend, he went out with other girls. I felt anger for his á
falsity."	1
261050	1	26	50	1	23	4	1	9	1	1	3	4	4	3	1	1	0	0	0	0	0	0	0	3	1	3	0	3	2	4	3	0	0	0	1	2610503	4	3	anger	"Once a friend had pushed me and I had fallen on to a window which á
then broke.  I was taken to tthe principal's office and he á
accused me of having broken the window."	1
101039	1	10	39	1	19	2	2	8	1	5	3	4	4	4	1	1	0	0	0	0	0	0	1	1	1	3	3	3	3	2	3	0	1	3	1	1010393	4	4	anger	"When I was misleaded by a person who assured that something would á
not occur, that I had no reason to prepccupy myself, and suddenly á
I saw myself implicated by the fact, because of the incompetence, á
and irresponsibility of that person."	1
101038	1	10	38	2	18	2	2	7	6	5	3	3	3	4	3	1	2	3	-1	0	1	0	1	2	1	3	3	3	2	1	2	0	1	3	2	1010383	3	4	anger	"I don't use to lie to my parets about what I do, and the two á
times that I felt anger were when they doubted me I said that I á
was going to the club, and they didn't believe me because the day á
before they had met me at FLIPERAMA. I had the wish to kill them."	1
261051	1	26	51	1	28	1	2	0	1	1	3	4	4	4	1	0	0	0	-1	0	0	1	0	3	1	3	1	1	1	5	0	1	1	0	0	2610513	4	4	anger	During the short period of my unemployment about six years back.	1
101037	1	10	37	2	28	2	2	5	1	3	3	2	1	2	3	0	0	2	0	0	0	0	0	2	2	3	3	2	3	2	1	1	0	2	0	1010373	1	2	anger	When my chief accused me of an error that I hadn't made.	1
101036	1	10	36	1	27	2	2	8	1	3	3	1	1	3	4	1	2	3	0	0	0	0	2	2	1	3	0	0	1	3	0	0	0	2	1	1010363	1	3	anger	"A girl entered in the division where I work and greeted everybody á
but not me."	1
261052	1	26	52	1	20	4	1	7	0	1	3	1	1	2	0	0	0	0	0	0	0	0	0	1	1	3	2	0	1	3	2	0	2	0	0	2610523	1	2	anger	"When I was dancing with a dame at a social, one of my friends who  á
was interested in her came and took her away from me.  I was á
really angry with him then."	1
101035	1	10	35	2	18	2	1	6	1	2	3	3	2	3	3	1	0	3	0	0	1	0	2	2	1	3	3	3	3	1	2	2	1	0	2	1010353	2	3	anger	"My mother was ill and asked me to prpare our lunch. I went to do it, á
and while I was working, she stayed behind me telling what I á
had, or not to do. I asked her to stop meddling, and to go to á
bed. When I went to ask for help to my sister, my mother said that á
I was proud, that I asked for help only when I wanted and that I á
wasn't able to cook by myself."	1
101058	1	10	58	1	20	1	2	2	9	9	3	3	4	3	1	0	0	1	0	0	0	1	0	1	1	3	2	3	3	2	0	2	1	3	0	1010583	4	3	anger	"In the University we were convoked to a stroll like a freshman I á
was still innocent about the manipulation. On seeing the goal of á
the exaltation to poor character people, I felt anger on feeling á
myself mass of maneuver."	1
101033	1	10	33	2	23	2	1	2	1	2	3	3	3	1	1	1	0	1	0	0	0	0	0	3	2	3	2	2	3	5	2	2	0	1	1	1010333	3	1	anger	"I loved a person and he went away. It wasn't necessary that he á
left me to reach his goals."	1
101042	1	10	42	1	32	2	2	2	1	5	3	4	4	4	2	1	0	1	-1	0	1	1	0	2	1	3	3	3	1	5	2	3	3	3	2	1010423	4	4	anger	"When I realized that the person I was courting hadn't been really á
by my side for a long time already. He had deceived me and I let á
him deceive me."	1
